survey_abbreviation,survey_name
AP,Consumer Price Index - Average Price Data
BD,Business Employment Dynamics
BG,Collective Bargaining Agreements-State and Local Government
BP,Collective Bargaining Agreements-Private Sector
CB,Biennial Nonfatal Case and Demographic numbers and rates: selected characteristics
CC,Employer Costs for Employee Compensation
CD,Nonfatal cases involving days away from work: selected characteristics
CE,"Employment, Hours, and Earnings from the Current Employment Statistics survey (National)"
CF,Census of Fatal Occupational Injuries
CH,Nonfatal cases involving days away from work: selected characteristics (2003 - 2010)
CI,Employment Cost Index
CM,Employer Costs for Employee Compensation
CS,Nonfatal cases involving days away from work: selected characteristics (2011 forward)
CU,Consumer Price Index - All Urban Consumers
CW,Consumer Price Index - Urban Wage Earners and Clerical Workers
CX,Consumer Expenditure Survey
EB,Employee Benefits Survey
EC,Employment Cost Index
EE,"National Employment, Hours, and Earnings"
EI,Import/Export Price Indexes
EN,Quarterly Census of Employment and Wages
EP,Employment Projections by Industry
EW,Quarterly Census of Employment and Wages (SIC)
FI,Census of Fatal Occupational Injuries (2003 - 2010)
FM,Marital and family labor force statistics from the Current Population Survey
FW,Census of Fatal Occupational Injuries (2011 forward)
GG,Green Goods and Services
GP,Geographic Profile
HC,Nonfatal cases involving days away from work: Selected Characteristics (2002)
HS,Occupational injuries and illnesses: industry data (pre-1989)
II,Occupational injuries and illnesses: industry data
IN,International Labor Comparison
IP,Industry Productivity
IS,Occupational injuries and illnesses industry data
JL,Job Openings and Labor Turnover Survey
JT,Job Openings and Labor Turnover Survey
LA,Local Area Unemployment Statistics
LE,Weekly and hourly earnings data from the Current Population Survey
LF,Labor Force Statistics from the Current Population Survey (SIC)
LI,Consumer Price Index - Department Store Inventory Price Index
LN,Labor Force Statistics from the Current Population Survey
LU,Union affiliation data from the Current Population Survey
ML,Mass Layoff Statistics
MP,Major Sector Total Factor Productivity
MU,Consumer Price Index - All Urban Consumers (Old Series)
MW,Consumer Price Index - Urban Wage Earners and Clerical Workers (Old Series)
NB,National Compensation Survey-Benefits
NC,National Compensation Survey
ND,Producer Price Index Industry Data
NW,National Compensation Survey
OE,Occupational Employment and Wage Statistics
OR,Occupational Requirements
PC,Producer Price Index Industry Data
PD,Producer Price Index - Discontinued (SIC)
PF,Federal Government Productivity Index
PI,Industry Productivity Index
PR,Major Sector Productivity and Costs
SA,"State and Area Employment, Hours, and Earnings (SIC)"
SH,Occupational injuries and illnesses: industry data (1989-2001)
SI,Occupational injuries and illnesses: industry data (2002)
SM,"State and Area Employment, Hours, and Earnings"
SU,Consumer Price Index - Chained Consumer Price Index
TU,American Time Use
WD,Producer Price Index Commodity-Discontinued Series
WM,Wage Modeling
WP,Producer Price Index-Commodities
WS,Work Stoppage Data
